bID,d13C,d15N
b320,-22.79,3.74
b320,-22.792,4.97
b320,-23.168,4.2
b320,-23.464,3.85
b321,-22.8,4.52
b321,-22.798,4.8
b321,-22.742,4.99
b322,-22.95,5.21
b322,-23.088,5.86
b322,-23.208,6.15
b322,-23.514,6.2
b323,-22.898,4.07
b323,-22.464,4.85
b324,-23.2,3.64
b324,-22.718,4.36
b324,-22.726,4.37
b324,-22.444,4.74
b325,-23.56,3.84
b325,-23.088,4.96
b326,-23.21,3.4
b326,-23.658,7.74
b327,-22.5,4.23
b328,-22.628,5.13
b328,-22.986,4.87
b329,-22.92,4.86
b329,-22.278,5.12
b330,-23.13,5.11
b331,-22.338,4.81
b331,-22.096,6.16
b332,-23.66,4.67
b333,-23.56,4.54
b334,-23.75,3.79
b335,-23.61,3.87
b335,-22.856,4.35
b336,-23.59,3.99
b336,-22.926,4.04
b337,-22.998,4.57
b337,-22.856,4.16
b337,-22.894,5.12
b338,-23.16,4.8
b338,-22.748,4.43
b338,-23.016,4.75
b338,-23.124,5.55
b339,-23.37,4.44
b340,-22.87,4.83
b340,-22.896,4.51
b341,-22.95,4.48
b341,-22.586,4.35
b341,-23.002,3.88
b341,-23.048,4.95
b341,-22.854,4.36
b341,-22.26,4.61
b342,-23.418,4.77
b343,-23.428,4.88
b344,-22.608,5.85
b345,-23.028,5.66
b345,-22.848,5.52
b346,-23.256,4.63
b347,-23.156,6.38
b348,-22.876,5.23
b349,-23.166,4.81
b349,-22.64,4.3
b349,-22.766,4.13
b350,-23.216,4.8
b351,-22.624,4.54
b351,-22.542,4.86
b351,-23.112,4.29
b351,-23.208,4.63
b352,-23.124,7.37
b352,-22.706,4.17
b353,-23.226,4.51
b354,-23.166,4.38
b355,-23.006,5.99
b355,-23.004,4.53
b355,-23.248,5.45
b356,-23.106,4.94
b356,-22.556,4.6
b356,-22.602,5.34
b357,-22.676,5.29
b358,-22.696,5.3
b358,-22.8,4.57
b358,-22.854,3.84
b358,-22.748,4.17
b358,-23.052,4.16
b358,-22.738,5.55
b359,-22.874,5.84
b360,-22.874,5.94
b361,-22.622,4.01
b361,-22.686,4.07
b361,-22.702,4.27
b362,-22.074,5.21
b363,-21.694,7.33
b364,-22.484,4.86
b365,-22.774,4.69
b365,-22.512,4.46
b366,-22.906,3.86
b366,-23.3,4.75
b367,-22.844,5
b368,-22.994,4.92
b369,-22.884,4.79
b370,-22.974,4.34
b370,-22.558,4.47
b370,-22.894,3.67
b370,-23.22,3.99
b371,-22.824,4.67
b371,-22.498,4.37
b371,-22.69,4.51
b371,-22.914,4.43
b371,-23.366,4.58
b372,-22.904,4.31
b373,-23.134,5.26
b373,-23.058,5.06
b373,-22.826,4.87
b374,-22.894,4.85
b375,-22.734,5.1
b375,-22.772,5
b375,-23.12,5.13
b375,-22.448,5.66
b376,-22.784,5.26
b377,-22.784,5.07
b377,-23.212,5.16
b378,-23.024,5.98
b378,-23.062,6.14
b378,-23.132,4.93
