d13C,d15N
-22.464,4.85
-23.2,3.64
-22.718,4.36
-22.726,4.37
-22.444,4.74
-23.56,3.84
-23.088,4.96
-23.21,3.4
-23.658,7.74
-22.5,4.23
-22.628,5.13
-22.986,4.87
-22.92,4.86
-22.278,5.12
-23.13,5.11
-22.338,4.81
-22.096,6.16
-23.66,4.67
-23.56,4.54
-23.75,3.79
-23.61,3.87
-22.856,4.35
-23.59,3.99
-22.926,4.04
-22.998,4.57
-22.856,4.16
-22.894,5.12
-23.16,4.8
-22.748,4.43
-23.016,4.75
-23.124,5.55
-23.37,4.44
-22.87,4.83
-22.896,4.51
-22.95,4.48
-22.586,4.35
-23.002,3.88
-23.048,4.95
-22.854,4.36
-22.26,4.61
-23.418,4.77
-23.428,4.88
-22.608,5.85
-23.028,5.66
-22.848,5.52
-23.256,4.63
-23.156,6.38
-22.876,5.23
-23.166,4.81
-22.64,4.3
-22.766,4.13
-23.216,4.8
-22.624,4.54
-22.542,4.86
-23.112,4.29
-23.208,4.63
-23.124,7.37
-22.706,4.17
-23.226,4.51
-23.166,4.38
-23.006,5.99
-23.004,4.53
-23.248,5.45
-23.106,4.94
-22.556,4.6
-22.602,5.34
-22.676,5.29
-22.696,5.3
-22.8,4.57
-22.854,3.84
-22.748,4.17
-23.052,4.16
-22.738,5.55
-22.874,5.84
-22.874,5.94
-22.622,4.01
-22.686,4.07
-22.702,4.27
-22.074,5.21
-21.694,7.33
-22.484,4.86
-22.774,4.69
-22.512,4.46
-22.906,3.86
-23.3,4.75
-22.844,5
-22.994,4.92
-22.884,4.79
-22.974,4.34
-22.558,4.47
-22.894,3.67
-23.22,3.99
-22.824,4.67
-22.498,4.37
-22.69,4.51
-22.914,4.43
-23.366,4.58
-22.904,4.31
-23.134,5.26
-23.058,5.06
-22.826,4.87
-22.894,4.85
-22.734,5.1
-22.772,5
-23.12,5.13
-22.448,5.66
-22.784,5.26
-22.784,5.07
-23.212,5.16
-23.024,5.98
-23.062,6.14
-23.132,4.93
