"","sampleID","BearID","pubname","year.sampled","year.represent","bearyear.sampled","bearyear.represent","sex","birth","age","reprostatus.represent","C13","N15","trophicpos","weight","headcirc","capturedate","Cmonth","cort.kit","cortisol","C13.suess","fYR"
"717","166","W9612","Hauku",1999,1998,"W9612_1999","W9612_1998","M","1995","4","SolitaryM",-22.75,5.55,"3.1","135","67",1999-04-09,"4","1","2.0299999999999998",-23.124,"1998"
"718","72","W9613","Tikka",1996,1995,"W9613_1996","W9613_1995","F","1995","1","WithMother",-22.93,4.44,"2.78","26","43",1996-04-21,"4","1","3.96",-23.37,"1995"
"719","73","W9614","Vässin",1996,1995,"W9614_1996","W9614_1995","M","1995","1","WithMother",-22.43,4.83,"2.89","25","40",1996-04-22,"4","1","3.4",-22.87,"1995"
"720","143","W9614","Vässin",1998,1997,"W9614_1998","W9614_1997","M","1995","3","SolitaryM",-22.5,4.51,"2.8","71","53",1998-04-16,"4","1","2.0099999999999998",-22.896,"1997"
"721","74","W9615","Keiko",1996,1995,"W9615_1996","W9615_1995","F","1995","1","WithMother",-22.51,4.48,"2.79","21","39.5",1996-04-22,"4","1","4.2",-22.95,"1995"
"722","329","W9615","Keiko",2003,2002,"W9615_2003","W9615_2002","F","1995","8","WithCubs",-22.3,4.35,"2.75","92","58",2003-04-23,"4","1","2.99",-22.586,"2002"
"723","882","W9615","Keiko",2005,2004,"W9615_2005","W9615_2004","F","1995","10","WithCubs",-22.76,3.88,"2.61","95","62",2005-04-27,"4","2","6.9",-23.002,"2004"
"724","480","W9615","Keiko",2007,2006,"W9615_2007","W9615_2006","F","1995","12","WithCubs",-22.85,4.95,"2.93","106","63",2007-04-16,"4","1","2.2200000000000002",-23.048,"2006"
"725","729","W9615","Keiko",2009,2008,"W9615_2009","W9615_2008","F","1995","14","WithCubs",-22.7,4.36,"2.75","105","63",2009-04-22,"4","2","11.17",-22.854,"2008"
"726","664","W9615","Keiko",2011,2010,"W9615_2011","W9615_2010","F","1995","16","WithCubs",-22.15,4.61,"2.83","90","58",2011-04-20,"4","2","12.77",-22.26,"2010"
"727","30","W9701","Bjoke",1997,1996,"W9701_1997","W9701_1996","M","1996","1","WithMother",-23,4.77,"2.87","35.5","39",1997-04-15,"4","1","3.58",-23.418,"1996"
"728","31","W9702","Grane",1997,1996,"W9702_1997","W9702_1996","M","1996","1","WithMother",-23.01,4.88,"2.91","35","40",1997-04-15,"4","1","2.94",-23.428,"1996"
"729","32","W9703","Tekla",1997,1996,"W9703_1997","W9703_1996","F","1996","1","WithMother",-22.19,5.85,"3.19","37","43",1997-04-16,"4","1","2.14",-22.608,"1996"
"730","33","W9704","Bamse",1997,1996,"W9704_1997","W9704_1996","M","1996","1","WithMother",-22.61,5.66,"3.14","43","45",1997-04-17,"4","1","2.0099999999999998",-23.028,"1996"
"731","34","W9705","Björe",1997,1996,"W9705_1997","W9705_1996","M","1996","1","WithMother",-22.43,5.52,"3.09","34","43.5",1997-04-17,"4","1","1.22",-22.848,"1996"
"732","144","W9801","Lohos",1998,1997,"W9801_1998","W9801_1997","M","1997","1","WithMother",-22.86,4.63,"2.83","25.5","41",1998-04-14,"4","1","2.75",-23.256,"1997"
"733","145","W9802","Blinde",1998,1997,"W9802_1998","W9802_1997","M","1983","15","SolitaryM",-22.76,6.38,"3.35","172","74",1998-04-14,"4","1","2.06",-23.156,"1997"
"734","146","W9803","Nita",1998,1997,"W9803_1998","W9803_1997","F","1997","1","WithMother",-22.48,5.23,"3.01","28","43",1998-04-15,"4","1","2.04",-22.876,"1997"
"735","147","W9804","Borregaard",1998,1997,"W9804_1998","W9804_1997","F","1997","1","WithMother",-22.77,4.81,"2.89","27","43",1998-04-15,"4","1","2.58",-23.166,"1997"
"736","243","W9804","Borregaard",2001,2000,"W9804_2001","W9804_2000","F","1997","4","SolitaryF",-22.31,4.3,"2.74","71","54.5",2001-04-27,"4","1","2.94",-22.64,"2000"
"737","860","W9804","Borregaard",2003,2002,"W9804_2003","W9804_2002","F","1997","6","WithCubs",-22.48,4.13,"2.69","64","56",2003-04-14,"4","2","16.2",-22.766,"2002"
"738","148","W9805","Rensjö_k5:2",1998,1997,"W9805_1998","W9805_1997","F","1997","1","WithMother",-22.82,4.8,"2.88","25","40",1998-04-15,"4","1","3.1",-23.216,"1997"
"739","167","W9806","Femma",1999,1998,"W9806_1999","W9806_1998","F","1996","3","SolitaryF",-22.25,4.54,"2.81","62","54",1999-04-11,"4","1","2.94",-22.624,"1998"
