sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
630,W1319,Snygga,2013,2012,W1319_2013,W1319_2012,F,2009,4,NA,-22.46,4.93,2.92,73,58.5,5/29/2013,5,2,5.41
NA,W1319,Snygga,2014,2013,W1319_2014,W1319_2013,F,2009,5,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
567,W1319,Snygga,2016,2015,W1319_2016,W1319_2015,F,2009,7,WithCubs,-23.51,4.36,2.75,72.6,57,5/1/2016,5,2,10.22
NA,W1319,Snygga,2018,2017,W1319_2018,W1319_2017,F,2009,9,WithCubs,NA,NA,NA,NA,NA,NA,13,NA,NA
631,W1320,Flogen,2012,2011,W1320_2012,W1320_2011,M,2007,5,SolitaryM,-22.57,5.57,3.11,NA,NA,NA,13,2,5.54
NA,W1320,Flogen,2014,2013,W1320_2014,W1320_2013,M,2007,7,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1401,Vallsa,2017,2016,W1401_2017,W1401_2016,F,2013,4,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1404,Mekasalm,2017,2016,W1404_2017,W1404_2016,M,2013,4,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1407,Sigra,2017,2016,W1407_2017,W1407_2016,F,2013,4,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
718,W1408,Misan,2016,2015,W1408_2016,W1408_2015,F,2013,3,SolitaryF,-23.66,6.09,3.26,81.6,55,4/29/2016,4,2,5.18
NA,W1408,Misan,2017,2016,W1408_2017,W1408_2016,F,2013,4,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1408,Misan,2018,2017,W1408_2018,W1408_2017,F,2013,5,WithCubs,NA,NA,NA,NA,NA,NA,13,NA,NA
569,W1417,Brunna,2016,2015,W1417_2016,W1417_2015,F,NA,NA,WithCubs,-24.12,4.66,2.84,76,55,5/4/2016,5,2,12.72
577,W1505,Gymåsa,2016,2015,W1505_2016,W1505_2015,F,NA,NA,SolitaryF,-23.32,4.6,2.82,112.6,61,4/28/2016,4,2,5.9
NA,W1512,Latola,2018,2017,W1512_2018,W1512_2017,F,2014,4,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1513,Ljothe,2016,2015,W1513_2016,W1513_2015,M,2008,8,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
580,W1614,KullaU2,2016,2015,W1614_2016,W1614_2015,F,2015,1,WithMother,-23.48,4.73,2.86,17.8,37,5/18/2016,5,2,13.02
530,W504,NA,2008,2007,W504_2008,W504_2007,NA,NA,NA,NA,-22.35,4.68,2.85,NA,NA,NA,13,1,1.38
1,W8607,Untorparen,1997,1996,W8607_1997,W8607_1996,M,1971,26,SolitaryM,-22.49,5.94,3.22,NA,74,4/11/1997,4,1,2.03
213,W8607,Untorparen,2000,1999,W8607_2000,W8607_1999,M,1971,29,SolitaryM,-23.09,8.39,3.94,205,77,4/28/2000,4,1,1.62
119,W8807,Tippingen,1990,1989,W8807_1990,W8807_1989,M,1984,6,SolitaryM,NA,NA,NA,86,58,4/11/1990,4,1,2.03
104,W8807,Tippingen,1992,1991,W8807_1992,W8807_1991,M,1984,8,SolitaryM,NA,NA,NA,122,62,4/4/1992,4,1,2.03
75,W8807,Tippingen,1995,1994,W8807_1995,W8807_1994,M,1984,11,SolitaryM,NA,NA,NA,123,67,4/24/1995,4,1,2.54
